11,The American President,1995,PG-13,17 Nov 1995,114 min,"Comedy, Drama, Romance",Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","English, French, Spanish",USA,https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg,6.8,"53,377",tt0112346
12,Dracula: Dead and Loving It,1995,PG-13,22 Dec 1995,88 min,"Comedy, Fantasy, Horror",Mel Brooks,"Mel Brooks (screenplay), Rudy De Luca (screenplay), Steve Haberman (screenplay), Rudy De Luca (story), Steve Haberman (story), Bram Stoker (characters)","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",Mel Brooks ' parody of the classic vampire story and its famous film adaptations.,"English, German","France, USA",https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg,5.9,"39,346",tt0112896
13,Balto,1995,G,22 Dec 1995,78 min,"Animation, Adventure, Drama, Family, History",Simon Wells,"Cliff Ruby (screenplay), Elana Lesser (screenplay), David Steven Cohen (screenplay), Roger S.H. Schulman (screenplay)","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",English,"USA, UK",https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,7.1,"40,420",tt0112453
14,Nixon,1995,R,05 Jan 1996,192 min,"Biography, Drama, History",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris","A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","English, Mandarin, Russian",USA,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,7.1,"29,081",tt0113987
15,Cutthroat Island,1995,PG-13,22 Dec 1995,124 min,"Action, Adventure, Comedy",Renny Harlin,"Michael Frost Beckner (story), James Gorman (story), Bruce A. Evans (story), Raynold Gideon (story), Robert King (screenplay), Marc Norman (screenplay)","Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,English,"France, Italy, Germany, USA",https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,5.7,"26,535",tt0112760
16,Casino,1995,R,22 Nov 1995,178 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Sharon Stone, Joe Pesci, James Woods","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",English,"USA, France",https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,8.2,"475,907",tt0112641
17,Sense and Sensibility,1995,PG,26 Jan 1996,136 min,"Drama, Romance",Ang Lee,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.","English, French","USA, UK",https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,7.6,"104,381",tt0114388
18,Four Rooms,1995,R,25 Dec 1995,98 min,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",Four interlocking tales that take place in a fading hotel on New Year's Eve.,English,USA,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.8,"99,475",tt0113101
19,Ace Ventura: When Nature Calls,1995,PG-13,10 Nov 1995,90 min,"Adventure, Comedy, Crime",Steve Oedekerk,"Jack Bernstein (characters), Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",English,USA,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.4,"204,373",tt0112281
20,Money Train,1995,R,22 Nov 1995,110 min,"Action, Comedy, Crime, Drama, Thriller",Joseph Ruben,"Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay)","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",English,USA,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,5.7,"39,208",tt0113845
21,Get Shorty,1995,R,20 Oct 1995,105 min,"Comedy, Crime, Thriller",Barry Sonnenfeld,"Elmore Leonard (novel), Scott Frank (screenplay)","John Travolta, Gene Hackman, Rene Russo, Danny DeVito","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",English,USA,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,6.9,"77,165",tt0113161
22,Copycat,1995,R,27 Oct 1995,123 min,"Drama, Mystery, Thriller",Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,English,USA,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,6.6,"55,341",tt0112722
23,Assassins,1995,R,06 Oct 1995,132 min,"Action, Crime, Thriller",Richard Donner,"Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"English, Dutch, Spanish","France, USA",https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,6.3,"78,640",tt0112401
24,Powder,1995,PG-13,27 Oct 1995,111 min,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",Victor Salva,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,English,USA,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,6.6,"28,709",tt0114168
25,Leaving Las Vegas,1995,R,09 Feb 1996,111 min,"Drama, Romance",Mike Figgis,"John O'Brien (based upon the novel by), Mike Figgis (screenplay by)","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","English, Russian",USA,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,7.5,"115,805",tt0113627
26,Othello,1995,R,19 Jan 1996,123 min,"Drama, Romance",Oliver Parker,"Oliver Parker (adaptation), William Shakespeare (play)","Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",English,"USA, UK",https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,6.8,"9,133",tt0114057
27,Now and Then,1995,PG-13,20 Oct 1995,100 min,"Comedy, Drama, Romance",Lesli Linka Glatter,I. Marlene King,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,English,USA,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,6.8,"27,445",tt0114011
28,Persuasion,1995,PG,27 Sep 1995,107 min,"Drama, Romance",Roger Michell,"Jane Austen (novel), Nick Dear (screenplay)","Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",English,"UK, USA, France",https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg,7.7,"8,758",tt0114117
29,The City of Lost Children,1995,R,15 Dec 1995,112 min,"Fantasy, Sci-Fi","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue)","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","French, Cantonese","France, Germany, Spain, Belgium, USA",https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,7.5,"65,548",tt0112682
30,Shanghai Triad,1995,R,22 Dec 1995,108 min,"Crime, Drama, History, Romance, Thriller",Yimou Zhang,"Feiyu Bi, Li Xiao (novel)","Gong Li, Baotian Li, Xiaoxiao Wang, Xuejian Li",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Mandarin,"France, China",https://m.media-amazon.com/images/M/MV5BYjQ0OTUxZTMtNGM2Mi00NWNjLWE4NjEtZjljMjVhYzkwNDYyXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,7.1,"5,249",tt0115012
31,Dangerous Minds,1995,R,11 Aug 1995,99 min,"Biography, Drama",John N. Smith,"LouAnne Johnson (book), Ronald Bass (screenplay)","Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,English,USA,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.6,"49,224",tt0112792
32,12 Monkeys,1995,R,05 Jan 1996,129 min,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Chris Marker (inspired by the film 'La Jetée' written by), David Webb Peoples (screenplay by), Janet Peoples (screenplay by)","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","English, French",USA,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,8.0,"585,772",tt0114746
33,Wings of Courage,1995,G,18 Sep 1996,40 min,"Adventure, Romance",Jean-Jacques Annaud,"Alain Godard, Jean-Jacques Annaud","Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer","While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",English,"France, USA",https://m.media-amazon.com/images/M/MV5BZWRjOGEyMWEtYmZjMi00MmVmLWE3ZjQtYmJiZTA0MmExYTU5L2ltYWdlXkEyXkFqcGdeQXVyMjI3ODYyNDU@._V1_SX300.jpg,6.4,615,tt0114952
34,Babe,1995,G,04 Aug 1995,91 min,"Comedy, Drama, Family",Chris Noonan,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",English,"Australia, USA",https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,6.8,"118,019",tt0112431
35,Carrington,1995,R,10 Nov 1995,121 min,"Biography, Drama, Romance",Christopher Hampton,"Christopher Hampton, Michael Holroyd (book)","Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West",The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.,English,"UK, France",https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,6.8,"5,155",tt0112637
36,Dead Man Walking,1995,R,02 Feb 1996,122 min,"Crime, Drama",Tim Robbins,"Helen Prejean (book), Tim Robbins","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",English,"UK, USA",https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,7.5,"89,621",tt0112818
37,Across the Sea of Time,1995,G,20 Oct 1995,51 min,"Adventure, Drama, Family, History",Stephen Low,Andrew Gellis,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...","English, Russian",USA,https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg,5.8,237,tt0112286
38,It Takes Two,1995,PG,17 Nov 1995,101 min,"Comedy, Family, Romance",Andy Tennant,Deborah Dean Davis,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",English,USA,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,5.9,"21,212",tt0113442
39,Clueless,1995,PG-13,19 Jul 1995,97 min,"Comedy, Romance",Amy Heckerling,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","English, Spanish",USA,https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,6.8,"189,136",tt0112697
40,"Cry, the Beloved Country",1995,PG-13,15 Dec 1995,106 min,"Drama, Thriller",Darrell Roodt,"Ronald Harwood (screenplay), Alan Paton (novel)","James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",English,"South Africa, USA",https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg,6.8,"1,703",tt0112749
41,Richard III,1995,R,29 Dec 1995,110 min,"Drama, Sci-Fi, War",Richard Loncraine,"Ian McKellen (screenplay), Richard Loncraine (screenplay), Richard Eyre, William Shakespeare (play)","Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson",The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,English,"UK, USA",https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,7.4,"13,895",tt0114279
42,Dead Presidents,1995,R,06 Oct 1995,119 min,"Action, Crime, Drama, Thriller, War","Albert Hughes, Allen Hughes","Allen Hughes (story), Albert Hughes (story), Michael Henry Brown (story), Michael Henry Brown (screenplay), Wallace Terry (story ""Specialist No.4 Haywood T. 'The Kid' Kirkland"")","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",English,USA,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.9,"20,414",tt0112819
43,Restoration,1995,R,02 Feb 1996,117 min,"Biography, Drama, History, Romance",Michael Hoffman,"Rose Tremain (novel), Rupert Walters (screenplay)","Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","English, Latin","USA, UK",https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,6.6,"8,973",tt0114272
44,Mortal Kombat,1995,PG-13,18 Aug 1995,101 min,"Action, Adventure, Fantasy, Sci-Fi, Thriller",Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,English,USA,https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_SX300.jpg,5.8,"108,001",tt0113855
45,To Die For,1995,R,06 Oct 1995,106 min,"Comedy, Crime, Drama, Thriller",Gus Van Sant,"Joyce Maynard (book), Buck Henry (screenplay)","Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,English,"USA, UK, Canada",https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.8,"44,343",tt0114681
46,How to Make an American Quilt,1995,PG-13,06 Oct 1995,117 min,"Comedy, Drama, Romance",Jocelyn Moorhouse,"Whitney Otto (novel), Jane Anderson (screenplay)","Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,English,USA,https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,6.3,"10,849",tt0113347
